task_name,note_file,note_summary,code_files,code_statuses,resolution
apply-phd-email,tasks/finalpool/apply-phd-email/SUGGESTED_CHANGES.md,"Clear the receiver mailbox during preprocessing, in addition to preparing the sender mailbox. | During evaluation, only accept emails whose subject exactly matches `PhD Application Materials Submission (Student ID: 2201210606)`. | If several exact-subject emails exist, check the newest one.",tasks/finalpool/apply-phd-email/evaluation/check_local_email.py; tasks/finalpool/apply-phd-email/preprocess/main.py,M; M,staged
canvas-arrange-exam,tasks/finalpool/canvas-arrange-exam/SUGGESTED_CHANGES.md,Update the task text so the agent is told to check related exam-notification emails as well as Canvas announcements. | Let preprocessing continue until the exam email injection step is complete.,tasks/finalpool/canvas-arrange-exam/docs/task.md; tasks/finalpool/canvas-arrange-exam/preprocess/main.py,M; M,staged
email-paper-homepage,tasks/finalpool/email-paper-homepage/SUGGESTED_CHANGES.md,Derive the expected conference year from the same date rule used by preprocessing. | Limit `codeurl` checks to papers that are actually in scope for this task. | Clarify that links should only be added for repositories that are actually released and finished.,tasks/finalpool/email-paper-homepage/docs/task.md; tasks/finalpool/email-paper-homepage/evaluation/main.py,M; M,staged
game-statistics,tasks/finalpool/game-statistics/SUGGESTED_CHANGES.md,Anchor preprocessing and evaluation to the same task date. | Save that task date during preprocessing so evaluation can reuse it. | Generate sample game timestamps that stay inside the task date.,tasks/finalpool/game-statistics/evaluation/main.py; tasks/finalpool/game-statistics/preprocess/main.py,M; M,staged
identify-all-songs,tasks/finalpool/identify-all-songs/SUGGESTED_CHANGES.md,"Add a small, curated alternative song list for a confirmed matching video version. | Recommend that the task eventually pin a URL or video ID.",tasks/finalpool/identify-all-songs/evaluation/check_content.py,M,staged
imagenet,tasks/finalpool/imagenet/SUGGESTED_CHANGES.md,"Parse `survey.tex` as a 5-column LaTeX table. | Compare the required fields: model name, method category, parameter count, FID-50K, Inception Score, and descending FID order. | Accept harmless header and parameter-unit wording differences already implied by the prompt.",tasks/finalpool/imagenet/evaluation/check_local.py,M,staged
latex-prompt-box,tasks/finalpool/latex-prompt-box/SUGGESTED_CHANGES.md,Accept `lightProxYellow` when it is defined directly with the expected color value. | Also accept a `\colorlet{lightProxYellow}{...}` alias when the referenced color is defined with the expected value.,tasks/finalpool/latex-prompt-box/evaluation/main.py,M,staged
llm-training-dataset,tasks/finalpool/llm-training-dataset/SUGGESTED_CHANGES.md,"Treat `ArXiv`, `Github`, `Wikipedia`, and `StackExchange` as shared datasets that may be listed under either model label. | Allow GPT-Neo coverage to be satisfied by `The Pile` as an aggregate, or by all required component datasets. | Check missing dataset names directly instead of relying only on counters.",tasks/finalpool/llm-training-dataset/evaluation/main.py,M,staged
merge-hf-datasets,tasks/finalpool/merge-hf-datasets/SUGGESTED_CHANGES.md,Normalize `tools.parameters` before comparison. | Treat flat parameter maps and JSON Schema `properties` forms as equivalent when they describe the same parameters. | Ignore empty `required: null` fields. | Compare tool-message JSON content by parsed JSON when possible.,tasks/finalpool/merge-hf-datasets/evaluation/main.py,M,staged
notion-find-job,tasks/finalpool/notion-find-job/SUGGESTED_CHANGES.md,Change the salary rule from `> $3000` to `>= $3000`.,tasks/finalpool/notion-find-job/docs/task.md,M,staged
notion-personal-website,tasks/finalpool/notion-personal-website/SUGGESTED_CHANGES.md,Add the `Exhibitions` section to the task text. | Read Notion page blocks with pagination during evaluation.,tasks/finalpool/notion-personal-website/docs/task.md; tasks/finalpool/notion-personal-website/evaluation/check_remote.py,M; M,staged
oil-price,tasks/finalpool/oil-price/SUGGESTED_CHANGES.md,Align the evaluator backtest with `detail.md`. | Treat the signal month as the entry month. | Close the position at the next month-end.,tasks/finalpool/oil-price/evaluation/main.py,M,staged
privacy-desensitization,tasks/finalpool/privacy-desensitization/SUGGESTED_CHANGES.md,Accept `/hidden/:<port>` as equivalent to `/hidden/` for the specific IP-address redaction case. | Recommend that the task text clarify whether ports are sensitive.,tasks/finalpool/privacy-desensitization/evaluation/main.py,M,staged
quantitative-financial-analysis,tasks/finalpool/quantitative-financial-analysis/SUGGESTED_CHANGES.md,"Add the missing `2025-07-31` rows for all four tickers to the ground-truth CSV. | Leave the stock-value fields for `2025-07-31` blank until the authors confirm the exact ground-truth values. | During evaluation, treat those blank values as fields that still need to be filled in or confirmed, rather than as final numeric ground truth.",tasks/finalpool/quantitative-financial-analysis/evaluation/check_content.py; tasks/finalpool/quantitative-financial-analysis/groundtruth_workspace/groundtruth_data.csv,M; M,staged
stock-build-position,tasks/finalpool/stock-build-position/SUGGESTED_CHANGES.md,Normalize A-share stock codes before comparison. | Accept bare six-digit codes and equivalent `.SH` / `.SS` / `.SZ` suffixes when the market is consistent.,tasks/finalpool/stock-build-position/evaluation/main.py,M,staged
student-interview,tasks/finalpool/student-interview/SUGGESTED_CHANGES.md,Compare calendar event start and end times as actual instants instead of raw strings.,tasks/finalpool/student-interview/evaluation/main.py,M,staged
university-course-selection,tasks/finalpool/university-course-selection/SUGGESTED_CHANGES.md,Ignore common teacher titles in the `Instructor` column. | Ignore trailing week ranges such as `[1-16]` in the `Class Time` column. | Compare `Course Selection Restrictions` as delimiter- and order-insensitive tokens. | Compare shared columns in the stable required-column order.,tasks/finalpool/university-course-selection/evaluation/check_local.py,M,staged
vlm-history-completer,tasks/finalpool/vlm-history-completer/SUGGESTED_CHANGES.md,"Normalize source URLs for trailing slash, `www`, case, and URL encoding. | Add a confirmed acceptable source alias for `StableDiffusion 1.5`.",tasks/finalpool/vlm-history-completer/evaluation/main.py; tasks/finalpool/vlm-history-completer/groundtruth_workspace/groundtruth.json,M; M,staged
woocommerce-customer-survey,tasks/finalpool/woocommerce-customer-survey/SUGGESTED_CHANGES.md,"Fix `form_requiremente.md` to `form_requirement.md` in the task text. | Make the delivery-service question text consistent with the requirement file. | During evaluation, accept only the two clearly equivalent delivery-question phrasings.",tasks/finalpool/woocommerce-customer-survey/docs/task.md; tasks/finalpool/woocommerce-customer-survey/docs/task_cn.md; tasks/finalpool/woocommerce-customer-survey/evaluation/main.py; tasks/finalpool/woocommerce-customer-survey/initial_workspace/form_requirement.md,M; M; M; M,staged
youtube-repo,tasks/finalpool/youtube-repo/SUGGESTED_CHANGES.md,Accept `HazyResearch/flash-attention` as an equivalent repository path for `Dao-AILab/flash-attention`.,tasks/finalpool/youtube-repo/evaluation/main.py,M,staged
